episode,total_reward,length,success,collisions,avg_goal_dist,crash_types,proximity_component,exploration_component,energy_component,fires_discovered,normalized_total,norm_prox_mean,norm_expl_mean,norm_energy_mean,action_saturation_fraction,actor_loss,critic_loss,td_error
1,-4965.182935605661,100,0,2,4.55508342674669,None;None,nan,nan,nan,0,0.0,nan,nan,nan,0.03333333333333333,nan,nan,nan
2,-4998.300351183916,100,0,2,4.326329584429526,None;None,nan,nan,nan,0,0.0,nan,nan,nan,0.006666666666666666,nan,nan,nan
3,-4697.734094879216,100,0,2,4.660482479125374,fire collision;None,nan,nan,nan,2,0.0,nan,nan,nan,0.013333333333333332,nan,nan,nan
4,-4995.772001024478,100,0,2,4.900322825459196,None;None,nan,nan,nan,0,0.0,nan,nan,nan,0.006666666666666666,nan,nan,nan
5,-4993.5969739129305,100,0,2,5.9675667018201874,None;None,nan,nan,nan,0,0.0,nan,nan,nan,0.01,nan,nan,nan
