episode,step,agent_id,total_it,actor_loss,critic_loss,td_error,q_min,q_max,normalized_reward,actor_grad_norm,critic_grad_norm,replay_fill
0,0,0,0,nan,nan,nan,nan,nan,-40.95868931038391,nan,nan,1
0,0,1,0,nan,nan,nan,nan,nan,-40.96556816896987,nan,nan,1
0,1,0,0,nan,nan,nan,nan,nan,-31.83261026555362,nan,nan,2
0,1,1,0,nan,nan,nan,nan,nan,-44.45628408421774,nan,nan,2
0,2,0,0,nan,nan,nan,nan,nan,-50.0,nan,nan,3
0,2,1,0,nan,nan,nan,nan,nan,-50.0,nan,nan,3
0,3,0,0,nan,nan,nan,nan,nan,-49.45232105672208,nan,nan,4
0,3,1,0,nan,nan,nan,nan,nan,-49.45676087384483,nan,nan,4
0,4,0,0,nan,nan,nan,nan,nan,-48.64071354215023,nan,nan,5
0,4,1,0,nan,nan,nan,nan,nan,-32.792440883847014,nan,nan,5
0,5,0,0,nan,nan,nan,nan,nan,-48.43064417543611,nan,nan,6
0,5,1,0,nan,nan,nan,nan,nan,-42.603697321418466,nan,nan,6
0,6,0,0,nan,nan,nan,nan,nan,-36.025087480844114,nan,nan,7
0,6,1,0,nan,nan,nan,nan,nan,-48.45415993334671,nan,nan,7
0,7,0,0,nan,nan,nan,nan,nan,-22.115684832234074,nan,nan,8
0,7,1,0,nan,nan,nan,nan,nan,-50.0,nan,nan,8
0,8,0,0,nan,nan,nan,nan,nan,-16.40414185237372,nan,nan,9
0,8,1,0,nan,nan,nan,nan,nan,-45.62818186521754,nan,nan,9
0,9,0,0,nan,nan,nan,nan,nan,-25.729524450411517,nan,nan,10
0,9,1,0,nan,nan,nan,nan,nan,-49.40998983292934,nan,nan,10
0,10,0,0,nan,nan,nan,nan,nan,-40.58415555202404,nan,nan,11
0,10,1,0,nan,nan,nan,nan,nan,-23.14406225970274,nan,nan,11
0,11,0,0,nan,nan,nan,nan,nan,-19.98932392383411,nan,nan,12
0,11,1,0,nan,nan,nan,nan,nan,-29.798511289446,nan,nan,12
0,12,0,0,nan,nan,nan,nan,nan,-29.74335866812786,nan,nan,13
0,12,1,0,nan,nan,nan,nan,nan,-25.00172934992611,nan,nan,13
0,13,0,0,nan,nan,nan,nan,nan,-29.599965784428363,nan,nan,14
0,13,1,0,nan,nan,nan,nan,nan,-7.576542538797294,nan,nan,14
0,14,0,0,nan,nan,nan,nan,nan,-50.0,nan,nan,15
0,14,1,0,nan,nan,nan,nan,nan,-22.489644715254798,nan,nan,15
0,15,0,0,nan,nan,nan,nan,nan,-48.43081294663404,nan,nan,16
0,15,1,0,nan,nan,nan,nan,nan,-11.411101336184137,nan,nan,16
0,16,0,0,nan,nan,nan,nan,nan,-21.9694630026782,nan,nan,17
0,16,1,0,nan,nan,nan,nan,nan,-5.164928511131938,nan,nan,17
0,17,0,0,nan,nan,nan,nan,nan,-49.42837517295063,nan,nan,18
0,17,1,0,nan,nan,nan,nan,nan,-10.73652261643089,nan,nan,18
0,18,0,0,nan,nan,nan,nan,nan,-49.432749283709555,nan,nan,19
0,18,1,0,nan,nan,nan,nan,nan,-19.823002090828112,nan,nan,19
0,19,0,0,nan,nan,nan,nan,nan,-47.22758870166184,nan,nan,20
0,19,1,0,nan,nan,nan,nan,nan,-12.667960140846091,nan,nan,20
0,20,0,0,nan,nan,nan,nan,nan,-50.0,nan,nan,21
0,20,1,0,nan,nan,nan,nan,nan,-30.57379564849184,nan,nan,21
0,21,0,0,nan,nan,nan,nan,nan,-24.1852214373547,nan,nan,22
0,21,1,0,nan,nan,nan,nan,nan,-22.838249028401584,nan,nan,22
0,22,0,0,nan,nan,nan,nan,nan,-11.7118484427033,nan,nan,23
0,22,1,0,nan,nan,nan,nan,nan,-8.536746435384602,nan,nan,23
0,23,0,0,nan,nan,nan,nan,nan,-11.726239806179773,nan,nan,24
0,23,1,0,nan,nan,nan,nan,nan,-8.373063478120928,nan,nan,24
0,24,0,0,nan,nan,nan,nan,nan,-17.452372320168873,nan,nan,25
0,24,1,0,nan,nan,nan,nan,nan,-13.919586400686041,nan,nan,25
0,25,0,0,nan,nan,nan,nan,nan,-15.838333603331048,nan,nan,26
0,25,1,0,nan,nan,nan,nan,nan,-27.462577595674425,nan,nan,26
0,26,0,0,nan,nan,nan,nan,nan,-12.458162067563226,nan,nan,27
0,26,1,0,nan,nan,nan,nan,nan,-31.305632958687724,nan,nan,27
0,27,0,0,nan,nan,nan,nan,nan,-15.551753825217705,nan,nan,28
0,27,1,0,nan,nan,nan,nan,nan,-20.361988968798112,nan,nan,28
0,28,0,0,nan,nan,nan,nan,nan,-6.415800350887071,nan,nan,29
